SSD,normal,7014,new,55x77x99
SSD,bad,339,new,55x77x99
computer,bad,3352,new,10x55x45
monitor,premium,6612,new,55x77x99
RAM,normal,4443,new,55x77x88
player,good,5213,used,10x55x45
air pods,so-so,3948,used,200x100x1
RAM,premium,6643,used,100x45x2
player,good,3728,new,200x100x1
player,premiun lux,1688,new,12x90x56
HDD,premiun lux,4356,new,55x77x88
player,so-so,1587,used,10x55x45
HDD,so-so,6149,used,111x68x7
monitor,bad,124,used,111x68x7
teapot,good,9897,new,10x55x45
videocard,good,1431,new,90x123x1
player,normal,8330,new,90x123x1
RAM,so-so,2534,used,111x68x7
teapot,good,1154,new,10x55x45
monitor,premiun lux,1268,used,100x45x2
player,very bad,1637,used,200x100x1
motherboard,good,9402,new,10x55x45
HDD,normal,1792,new,45x34x56
monitor,normal,2359,new,200x100x1
motherboard,premium,3444,used,55x77x88
monitor,bad,3541,used,12x90x56
CPU,good,3989,used,200x100x1
videocard,premium,4357,new,55x77x88
teapot,premiun lux,8473,used,200x100x1
teapot,premiun lux,446,used,12x90x56
SSD,normal,1483,used,200x100x1
air pods,very bad,2026,new,111x68x7
monitor,bad,9884,used,100x45x2
videocard,bad,2075,new,10x55x45
monitor,very bad,2584,used,10x55x45
teapot,very bad,8959,new,55x77x99
player,very bad,7594,used,12x90x56
air pods,good,3345,new,45x34x56
RAM,normal,1843,new,100x45x2
monitor,very good,1739,new,12x90x56
RAM,normal,6612,new,90x123x1
HDD,bad,9337,new,200x100x1
player,bad,3077,new,55x77x99
air pods,very bad,7575,used,200x100x1
HDD,premiun lux,391,used,111x68x7
RAM,very good,2520,used,200x100x1
computer,premiun lux,2478,used,45x34x56
SSD,normal,1243,used,12x90x56
teapot,normal,9835,new,10x55x45
teapot,bad,6907,used,10x55x45
teapot,very good,5970,new,111x68x7
computer,very good,6476,used,90x123x1
SSD,bad,2400,new,12x90x56
motherboard,very good,3758,used,45x34x56
RAM,premiun lux,4800,used,10x55x45
computer,so-so,8975,new,200x100x1
motherboard,very bad,8388,new,100x45x2
RAM,good,995,used,12x90x56
SSD,premium,5871,new,12x90x56
videocard,premiun lux,8742,new,100x45x2
monitor,so-so,9100,new,90x123x1
RAM,very good,7007,used,200x100x1
HDD,premium,3835,new,90x123x1
teapot,premium,9943,new,55x77x88
teapot,premium,6680,used,45x34x56
RAM,normal,6816,used,55x77x99
CPU,so-so,6389,new,90x123x1
teapot,so-so,1700,used,200x100x1
air pods,premium,4976,used,45x34x56
RAM,so-so,873,new,100x45x2
air pods,very good,1856,used,111x68x7
CPU,good,3182,new,45x34x56
teapot,normal,9215,new,111x68x7
SSD,normal,3359,used,90x123x1
RAM,very good,8700,used,10x55x45
HDD,good,5312,new,55x77x99
monitor,premiun lux,9673,used,45x34x56
RAM,good,2923,used,55x77x99
air pods,premium,7697,new,90x123x1
monitor,premiun lux,6874,used,45x34x56
videocard,good,2226,used,90x123x1
air pods,premium,5200,new,90x123x1
computer,very bad,8387,used,55x77x88
player,so-so,9476,used,100x45x2
SSD,premium,2831,used,55x77x88
HDD,so-so,6553,used,90x123x1
RAM,normal,5000,new,90x123x1
CPU,very good,3928,new,55x77x88
CPU,very good,6098,used,45x34x56
monitor,premium,9655,used,100x45x2
SSD,premium,9539,new,45x34x56
player,premiun lux,1441,used,55x77x88
videocard,bad,9360,used,12x90x56
RAM,bad,2463,used,55x77x99
RAM,very good,5632,new,45x34x56
CPU,premiun lux,4153,used,10x55x45
RAM,premiun lux,4658,new,10x55x45
monitor,very good,4476,used,111x68x7
air pods,bad,5539,new,55x77x88
teapot,premium,1069,used,200x100x1
CPU,very bad,956,used,55x77x88
CPU,premium,5496,used,90x123x1
HDD,normal,8737,new,200x100x1
computer,very good,4112,used,200x100x1
SSD,very bad,8270,used,12x90x56
motherboard,good,5961,used,45x34x56
SSD,premium,214,new,111x68x7
player,premiun lux,4194,used,200x100x1
CPU,very good,7866,new,55x77x99
computer,normal,7477,new,100x45x2
teapot,so-so,6711,new,100x45x2
RAM,normal,8433,used,10x55x45
RAM,very bad,305,new,45x34x56
computer,premium,8629,new,200x100x1
motherboard,normal,4063,new,111x68x7
motherboard,premiun lux,8417,new,111x68x7
air pods,good,200,used,55x77x88
air pods,very good,6724,new,45x34x56
player,normal,9527,new,12x90x56
HDD,very bad,5041,used,200x100x1
HDD,normal,6432,used,55x77x88
computer,bad,3383,used,111x68x7
videocard,so-so,8131,new,55x77x88
HDD,very bad,6484,new,100x45x2
motherboard,bad,5785,used,200x100x1
SSD,very bad,1255,used,45x34x56
monitor,good,7799,new,10x55x45
monitor,normal,8734,new,111x68x7
HDD,so-so,6792,new,10x55x45
CPU,bad,6789,used,90x123x1
player,normal,8175,used,200x100x1
air pods,bad,627,new,55x77x88
monitor,good,6832,used,55x77x88
SSD,premiun lux,9037,used,10x55x45
monitor,bad,9156,used,55x77x88
HDD,normal,5867,new,55x77x88
computer,premium,6407,new,55x77x99
RAM,normal,9510,used,200x100x1
CPU,good,53,used,90x123x1
